,resultId,raceId,name,year,circuitId,driverId,constructorId,starting_position,finishing_status,train_test,ending_position
20623,20623,349,Belgian Grand Prix,2010,13,153,5,11,1,1,13
20624,20624,349,Belgian Grand Prix,2010,13,807,3,9,1,1,14
20625,20625,349,Belgian Grand Prix,2010,13,20,9,4,1,1,15
20626,20626,349,Belgian Grand Prix,2010,13,5,205,13,1,1,16
20627,20627,349,Belgian Grand Prix,2010,13,810,166,22,1,1,17
20628,20628,349,Belgian Grand Prix,2010,13,10,166,20,1,1,18
20629,20629,349,Belgian Grand Prix,2010,13,15,205,15,1,1,19
20630,20630,349,Belgian Grand Prix,2010,13,29,164,19,1,1,20
20631,20631,349,Belgian Grand Prix,2010,13,4,6,10,2,1,0
20632,20632,349,Belgian Grand Prix,2010,13,18,1,5,2,1,0
20633,20633,349,Belgian Grand Prix,2010,13,811,164,18,2,1,0
20634,20634,349,Belgian Grand Prix,2010,13,22,3,7,2,1,0
20635,20635,350,Italian Grand Prix,2010,14,4,6,1,1,1,1
20636,20636,350,Italian Grand Prix,2010,14,18,1,2,1,1,2
20637,20637,350,Italian Grand Prix,2010,14,13,6,3,1,1,3
20638,20638,350,Italian Grand Prix,2010,14,20,9,6,1,1,4
20639,20639,350,Italian Grand Prix,2010,14,3,131,7,1,1,5
20640,20640,350,Italian Grand Prix,2010,14,17,9,4,1,1,6
20641,20641,350,Italian Grand Prix,2010,14,807,3,8,1,1,7
20642,20642,350,Italian Grand Prix,2010,14,9,4,9,1,1,8
20643,20643,350,Italian Grand Prix,2010,14,30,131,12,1,1,9
20644,20644,350,Italian Grand Prix,2010,14,22,3,10,1,1,10
20645,20645,350,Italian Grand Prix,2010,14,67,5,14,1,1,11
20646,20646,350,Italian Grand Prix,2010,14,24,10,19,1,1,12
20647,20647,350,Italian Grand Prix,2010,14,808,4,20,1,1,13
20648,20648,350,Italian Grand Prix,2010,14,37,15,16,1,1,14
20649,20649,350,Italian Grand Prix,2010,14,153,5,15,1,1,15
20650,20650,350,Italian Grand Prix,2010,14,16,10,11,1,1,16
20651,20651,350,Italian Grand Prix,2010,14,10,166,24,1,1,17
20652,20652,350,Italian Grand Prix,2010,14,5,205,18,1,1,18
20653,20653,350,Italian Grand Prix,2010,14,29,164,23,1,1,19
20654,20654,350,Italian Grand Prix,2010,14,810,166,21,1,1,20
20655,20655,350,Italian Grand Prix,2010,14,15,205,17,2,1,0
20656,20656,350,Italian Grand Prix,2010,14,811,164,22,2,1,0
20657,20657,350,Italian Grand Prix,2010,14,1,1,5,2,1,0
20658,20658,350,Italian Grand Prix,2010,14,155,15,13,2,1,0
20659,20659,351,Singapore Grand Prix,2010,15,4,6,1,1,1,1
20660,20660,351,Singapore Grand Prix,2010,15,20,9,2,1,1,2
20661,20661,351,Singapore Grand Prix,2010,15,17,9,5,1,1,3
20662,20662,351,Singapore Grand Prix,2010,15,18,1,4,1,1,4
20663,20663,351,Singapore Grand Prix,2010,15,3,131,7,1,1,5
20664,20664,351,Singapore Grand Prix,2010,15,22,3,6,1,1,6
20665,20665,351,Singapore Grand Prix,2010,15,9,4,8,1,1,7
20666,20666,351,Singapore Grand Prix,2010,15,13,6,24,1,1,8
20667,20667,351,Singapore Grand Prix,2010,15,16,10,15,1,1,9
20668,20668,351,Singapore Grand Prix,2010,15,807,3,17,1,1,10
20669,20669,351,Singapore Grand Prix,2010,15,808,4,12,1,1,11
20670,20670,351,Singapore Grand Prix,2010,15,153,5,11,1,1,12
