,index,driverId,position,driverRef,nationality,country,homeWin
2089,17334,385,3.0,bandini,Italian,Italy,Yes
2090,17356,289,1.0,hill,British,USA,No
2091,17357,341,2.0,surtees,British,USA,No
2092,17358,346,3.0,siffert,Swiss,USA,No
2093,17375,364,1.0,gurney,American,Mexico,No
2094,17376,341,2.0,surtees,British,Mexico,No
2095,17377,385,3.0,bandini,Italian,Mexico,No
2096,17394,289,1.0,hill,British,Monaco,No
2097,17395,386,2.0,ginther,American,Monaco,No
2098,17396,360,3.0,mclaren,New Zealander,Monaco,No
2099,17419,373,1.0,clark,British,Belgium,No
2100,17420,360,2.0,mclaren,New Zealander,Belgium,No
2101,17421,364,3.0,gurney,American,Belgium,No
2102,17443,373,1.0,clark,British,Netherlands,No
2103,17444,364,2.0,gurney,American,Netherlands,No
2104,17445,341,3.0,surtees,British,Netherlands,No
2105,17464,373,1.0,clark,British,France,No
2106,17465,408,2.0,maggs,South African,France,No
2107,17466,289,3.0,hill,British,France,No
2108,17488,373,1.0,clark,British,UK,Yes
2109,17489,341,2.0,surtees,British,UK,Yes
2110,17490,289,3.0,hill,British,UK,Yes
2111,17514,341,1.0,surtees,British,Germany,No
2112,17515,373,2.0,clark,British,Germany,No
2113,17516,386,3.0,ginther,American,Germany,No
2114,17543,373,1.0,clark,British,Italy,No
2115,17544,386,2.0,ginther,American,Italy,No
2116,17545,360,3.0,mclaren,New Zealander,Italy,No
2117,17576,289,1.0,hill,British,USA,No
2118,17577,386,2.0,ginther,American,USA,Yes
2119,17578,373,3.0,clark,British,USA,No
2120,17600,373,1.0,clark,British,Mexico,No
2121,17601,356,2.0,jack_brabham,Australian,Mexico,No
2122,17602,386,3.0,ginther,American,Mexico,No
2123,17625,289,1.0,hill,British,Netherlands,No
2124,17626,401,2.0,trevor_taylor,British,Netherlands,No
2125,17627,403,3.0,phil_hill,American,Netherlands,No
2126,17647,360,1.0,mclaren,New Zealander,Monaco,No
2127,17648,403,2.0,phil_hill,American,Monaco,No
2128,17649,385,3.0,bandini,Italian,Monaco,No
2129,17671,373,1.0,clark,British,Belgium,No
2130,17672,289,2.0,hill,British,Belgium,No
2131,17673,403,3.0,phil_hill,American,Belgium,No
2132,17697,364,1.0,gurney,American,France,No
2133,17698,408,2.0,maggs,South African,France,No
2134,17699,386,3.0,ginther,American,France,No
2135,17719,373,1.0,clark,British,UK,Yes
2136,17720,341,2.0,surtees,British,UK,Yes
2137,17721,360,3.0,mclaren,New Zealander,UK,No
2138,17745,289,1.0,hill,British,Germany,No
2139,17746,341,2.0,surtees,British,Germany,No
2140,17747,364,3.0,gurney,American,Germany,No
2141,17776,289,1.0,hill,British,Italy,No
2142,17777,386,2.0,ginther,American,Italy,No
2143,17778,360,3.0,mclaren,New Zealander,Italy,No
2144,17807,373,1.0,clark,British,USA,No
2145,17808,289,2.0,hill,British,USA,No
2146,17809,360,3.0,mclaren,New Zealander,USA,No
2147,17827,289,1.0,hill,British,South Africa,No
2148,17828,360,2.0,mclaren,New Zealander,South Africa,No
2149,17829,408,3.0,maggs,South African,South Africa,Yes
2150,17848,475,1.0,moss,British,Monaco,No
2151,17849,386,2.0,ginther,American,Monaco,No
2152,17850,403,3.0,phil_hill,American,Monaco,No
2153,17869,476,1.0,trips,German,Netherlands,No
2154,17870,403,2.0,phil_hill,American,Netherlands,No
2155,17871,373,3.0,clark,British,Netherlands,No
2156,17886,403,1.0,phil_hill,American,Belgium,No
2157,17887,476,2.0,trips,German,Belgium,No
2158,17888,386,3.0,ginther,American,Belgium,No
2159,17912,394,1.0,baghetti,Italian,France,No
2160,17913,364,2.0,gurney,American,France,No
2161,17914,373,3.0,clark,British,France,No
2162,17943,476,1.0,trips,German,UK,No
2163,17944,403,2.0,phil_hill,American,UK,No
2164,17945,386,3.0,ginther,American,UK,No
2165,17974,475,1.0,moss,British,Germany,No
2166,17975,476,2.0,trips,German,Germany,Yes
2167,17976,403,3.0,phil_hill,American,Germany,No
2168,18007,403,1.0,phil_hill,American,Italy,No
2169,18008,364,2.0,gurney,American,Italy,No
2170,18009,360,3.0,mclaren,New Zealander,Italy,No
2171,18046,404,1.0,ireland,British,USA,No
2172,18047,364,2.0,gurney,American,USA,Yes
2173,18048,479,3.0,brooks,British,USA,No
2174,18066,360,1.0,mclaren,New Zealander,Argentina,No
2175,18067,477,2.0,allison,British,Argentina,No
2176,18068,427,3.0,trintignant,French,Argentina,No
2177,18088,475,1.0,moss,British,Monaco,No
2178,18089,360,2.0,mclaren,New Zealander,Monaco,No
2179,18090,403,3.0,phil_hill,American,Monaco,No
2180,18112,509,1.0,rathmann,American,USA,Yes
2181,18113,449,2.0,ward,American,USA,Yes
2182,18114,510,3.0,goldsmith,American,USA,Yes
2183,18145,356,1.0,jack_brabham,Australian,Netherlands,No
2184,18146,404,2.0,ireland,British,Netherlands,No
2185,18147,289,3.0,hill,British,Netherlands,No
2186,18166,356,1.0,jack_brabham,Australian,Belgium,No
2187,18167,360,2.0,mclaren,New Zealander,Belgium,No
2188,18168,482,3.0,gendebien,Belgian,Belgium,Yes
2189,18185,356,1.0,jack_brabham,Australian,France,No
2190,18186,482,2.0,gendebien,Belgian,France,No
2191,18187,360,3.0,mclaren,New Zealander,France,No
2192,18208,356,1.0,jack_brabham,Australian,UK,No
2193,18209,341,2.0,surtees,British,UK,Yes
2194,18210,404,3.0,ireland,British,UK,Yes
2195,18233,356,1.0,jack_brabham,Australian,Portugal,No
2196,18234,360,2.0,mclaren,New Zealander,Portugal,No
2197,18235,373,3.0,clark,British,Portugal,No
2198,18248,403,1.0,phil_hill,American,Italy,No
2199,18249,386,2.0,ginther,American,Italy,No
2200,18250,435,3.0,mairesse,Belgian,Italy,No
2201,18265,475,1.0,moss,British,USA,No
2202,18266,404,2.0,ireland,British,USA,No
2203,18267,360,3.0,mclaren,New Zealander,USA,No
2204,18288,356,1.0,jack_brabham,Australian,Monaco,No
2205,18289,479,2.0,brooks,British,Monaco,No
2206,18290,427,3.0,trintignant,French,Monaco,No
2207,18312,449,1.0,ward,American,USA,Yes
2208,18313,509,2.0,rathmann,American,USA,Yes
2209,18314,512,3.0,thomson,American,USA,Yes
2210,18345,347,1.0,bonnier,Swedish,Netherlands,No
2211,18346,356,2.0,jack_brabham,Australian,Netherlands,No
2212,18347,418,3.0,gregory,American,Netherlands,No
2213,18360,479,1.0,brooks,British,France,No
2214,18361,403,2.0,phil_hill,American,France,No
2215,18362,356,3.0,jack_brabham,Australian,France,No
2216,18382,356,1.0,jack_brabham,Australian,UK,No
2217,18383,475,2.0,moss,British,UK,Yes
2218,18384,360,3.0,mclaren,New Zealander,UK,No
2219,18412,479,1.0,brooks,British,Germany,No
2220,18413,364,2.0,gurney,American,Germany,No
2221,18414,403,3.0,phil_hill,American,Germany,No
2222,18427,475,1.0,moss,British,Portugal,No
2223,18428,418,2.0,gregory,American,Portugal,No
2224,18429,364,3.0,gurney,American,Portugal,No
2225,18443,475,1.0,moss,British,Italy,No
2226,18444,403,2.0,phil_hill,American,Italy,No
2227,18445,356,3.0,jack_brabham,Australian,Italy,No
2228,18464,360,1.0,mclaren,New Zealander,USA,No
2229,18465,427,2.0,trintignant,French,USA,No
2230,18466,479,3.0,brooks,British,USA,No
2231,18483,475,1.0,moss,British,Argentina,No
2232,18484,577,2.0,musso,Italian,Argentina,No
2233,18485,578,3.0,hawthorn,British,Argentina,No
2234,18493,427,1.0,trintignant,French,Monaco,No
2235,18494,577,2.0,musso,Italian,Monaco,No
2236,18495,581,3.0,collins,British,Monaco,No
2237,18524,475,1.0,moss,British,Netherlands,No
2238,18525,501,2.0,schell,American,Netherlands,No
2239,18526,554,3.0,behra,French,Netherlands,No
2240,18542,525,1.0,bryan,American,USA,Yes
2241,18543,591,2.0,george_amick,American,USA,Yes
2242,18544,533,3.0,boyd,American,USA,Yes
2243,18575,479,1.0,brooks,British,Belgium,No
2244,18576,578,2.0,hawthorn,British,Belgium,No
2245,18577,590,3.0,lewis-evans,British,Belgium,No
2246,18594,578,1.0,hawthorn,British,France,No
2247,18595,475,2.0,moss,British,France,No
2248,18596,476,3.0,trips,German,France,No
2249,18615,581,1.0,collins,British,UK,Yes
2250,18616,578,2.0,hawthorn,British,UK,Yes
2251,18617,456,3.0,salvadori,British,UK,Yes
2252,18635,479,1.0,brooks,British,Germany,No
2253,18636,456,2.0,salvadori,British,Germany,No
2254,18637,427,3.0,trintignant,French,Germany,No
2255,18661,475,1.0,moss,British,Portugal,No
2256,18662,578,2.0,hawthorn,British,Portugal,No
2257,18663,590,3.0,lewis-evans,British,Portugal,No
2258,18676,479,1.0,brooks,British,Italy,No
2259,18677,578,2.0,hawthorn,British,Italy,No
2260,18678,403,3.0,phil_hill,American,Italy,No
2261,18697,475,1.0,moss,British,Morocco,No
2262,18698,578,2.0,hawthorn,British,Morocco,No
2263,18699,403,3.0,phil_hill,American,Morocco,No
2264,18722,579,1.0,fangio,Argentine,Argentina,Yes
2265,18723,554,2.0,behra,French,Argentina,No
2266,18724,496,3.0,menditeguy,Argentine,Argentina,Yes
2267,18736,579,1.0,fangio,Argentine,Monaco,No
2268,18737,479,2.0,brooks,British,Monaco,No
2269,18738,418,3.0,gregory,American,Monaco,No
2270,18757,611,1.0,hanks,American,USA,Yes
2271,18758,509,2.0,rathmann,American,USA,Yes
